Drug,Matched_Query,Source,N_Indications,Indications_Parsed,Label_Indication_Text
Roflumilast,openfda.generic_name=Roflumilast,openFDA label,1,COPD,"Roflumilast tablets is indicated as a treatment to reduce the risk of COPD exacerbations in patients with severe COPD associated with chronic bronchitis and a history of exacerbations. Limitations of Use Roflumilast tablets is not a bronchodilator and is not indicated for the relief of acute bronchospasm. Roflumilast tablets 250 mcg is a starting dose, for the first 4 weeks of treatment only and is not the effective (therapeutic) dose. Roflumilast tablets is a selective phosphodiesterase 4 inhibitor indicated as a treatment to reduce the risk of COPD exacerbations in patients with severe COPD "
Romidepsin,openfda.generic_name=Romidepsin,openFDA label,1,Lymphoma,ISTODAX is indicated for the treatment of cutaneous T-cell lymphoma (CTCL) in adult patients who have received at least one prior systemic therapy. ISTODAX is a histone deacetylase (HDAC) inhibitor indicated for the treatment of cutaneous T-cell lymphoma (CTCL) in adult patients who have received at least one prior systemic therapy .
Ropinirole Hydrochloride,openfda.generic_name=Ropinirole,openFDA label,2,Parkinson's disease; Restless legs syndrome,"Ropinirole Tablets are a non-ergoline dopamine agonist indicated for the treatment of Parkinson’s disease (PD) and moderate-to-severe primary Restless Legs Syndrome (RLS). (1.1, 1.2). 1.1 Parkinson's Disease Ropinirole tablets are indicated for the treatment of Parkinson’s disease. 1.2 Restless Legs Syndrome Ropinirole tablets are indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome (RLS)."
Rosuvastatin Calcium,openfda.generic_name=Rosuvastatin,openFDA label,3,Myocardial infarction (risk reduction); Stroke (risk reduction); Coronary artery disease,"Rosuvastatin tablets is indicated: To reduce the risk major adverse cardiovascular (CV) events (CV death, nonfatal myocardial infarction, nonfatal stroke, or an arterial revascularization procedure) in adults without established coronary heart disease who are at increased risk of CV disease based on age, high-sensitivity C-reactive protein (hsCRP) ≥2 mg/L, and at least one additional CV risk factor. As an adjunct to diet to: Reduce low-density lipoprotein cholesterol (LDL-C) in adults with primary hyperlipidemia. Reduce LDL-C and slow the progression of atherosclerosis in adults. Reduce LDL-C "
Rotigotine,openfda.generic_name=Rotigotine,openFDA label,2,Parkinson's disease; Restless legs syndrome,NEUPRO is a dopamine agonist indicated for the treatment of: Parkinson's disease Moderate-to-severe primary Restless Legs Syndrome 1.1 Parkinson's Disease (PD) NEUPRO is indicated for the treatment of Parkinson's disease. 1.2 Restless Legs Syndrome (RLS) NEUPRO is indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome.
Rufinamide,openfda.generic_name=Rufinamide,openFDA label,1,Epilepsy / seizures,"1 I NDICATIONS AND USAGE BANZEL is indicated for adjunctive treatment of seizures associated with Lennox-Gastaut Syndrome in pediatric patients 1 year of age and older and in adults. BANZEL is indicated for adjunctive treatment of seizures associated with Lennox-Gastaut Syndrome (LGS) in pediatric patients 1 year of age and older, and in adults"
Ruxolitinib Phosphate,openfda.generic_name=Ruxolitinib,openFDA label,1,Atopic dermatitis,"OPZELURA is a Janus kinase (JAK) inhibitor indicated for: the topical short-term and non-continuous chronic treatment of mild to moderate atopic dermatitis in non-immunocompromised adult and pediatric patients 2 years of age and older whose disease is not adequately controlled with topical prescription therapies or when those therapies are not advisable. the topical treatment of nonsegmental vitiligo in adult and pediatric patients 12 years of age and older. Limitations of Use Use of OPZELURA in combination with therapeutic biologics, other JAK inhibitors or potent immunosuppressants such as a"
Sacubitril; Valsartan,openfda.brand_name=ENTRESTO,openFDA label,1,Heart failure,"ENTRESTO is a combination of sacubitril, a neprilisin inhibitor, and valsartan, an angiotensin II receptor blocker, and is indicated: to reduce the risk of cardiovascular death and hospitalization for heart failure in adult patients with chronic heart failure. Benefits are most clearly evident in patients with left ventricular ejection fraction (LVEF) below normal. for the treatment of symptomatic heart failure with systemic left ventricular systolic dysfunction in pediatric patients aged one year and older. ENTRESTO reduces NT-proBNP and is expected to improve cardiovascular outcomes. 1.1 Adu"
Sapropterin Dihydrochloride,openfda.generic_name=Sapropterin Dihydrochloride,openFDA label,0,,Sapropterin dihydrochloride tablets are indicated to reduce blood phenylalanine (Phe) levels in adult and pediatric patients one month of age and older with hyperphenylalaninemia (HPA) due to tetrahydrobiopterin- (BH4-) responsive Phenylketonuria (PKU). Sapropterin dihydrochloride tablets are to be used in conjunction with a Phe-restricted diet. Sapropterin dihydrochloride tablets are a phenylalanine hydroxylase activator indicated to reduce blood phenylalanine (Phe) levels in adult and pediatric patients one month of age and older with hyperphenylalaninemia (HPA) due to tetrahydrobiopterin- (
Saxagliptin Hydrochloride,openfda.generic_name=Saxagliptin,openFDA label,2,Type 2 diabetes; Diabetes mellitus,"Dapagliflozin and saxagliptin tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. Limitations of Use Dapagliflozin and saxagliptin tablets are not recommended for use to improve glycemic control in patients with type 1 diabetes mellitus [ see WARNINGS AND PRECAUTIONS ]. Dapagliflozin and saxagliptin tablets is a combination of dapagliflozin, a sodium-glucose cotransporter 2 (SGLT2) inhibitor and saxagliptin a dipeptidyl peptidase-4 (DPP-4) inhibitor indicated as an adjunct to diet and exercise to improve glycemic control"
Selegiline,openfda.generic_name=Selegiline,openFDA label,1,Parkinson's disease,INDICATIONS AND USAGE Selegiline Hydrochloride Tablets USP are indicated as an adjunct in the management of Parkinsonian patients being treated with levodopa/carbidopa who exhibit deterioration in the quality of their response to this therapy. There is no evidence from controlled studies that selegiline has any beneficial effect in the absence of concurrent levodopa therapy. Evidence supporting this claim was obtained in randomized controlled clinical investigations that compared the effects of added selegiline or placebo in patients receiving levodopa/carbidopa. Selegiline was significantly s
Selegiline Hydrochloride,openfda.generic_name=Selegiline,openFDA label,1,Parkinson's disease,INDICATIONS AND USAGE Selegiline Hydrochloride Tablets USP are indicated as an adjunct in the management of Parkinsonian patients being treated with levodopa/carbidopa who exhibit deterioration in the quality of their response to this therapy. There is no evidence from controlled studies that selegiline has any beneficial effect in the absence of concurrent levodopa therapy. Evidence supporting this claim was obtained in randomized controlled clinical investigations that compared the effects of added selegiline or placebo in patients receiving levodopa/carbidopa. Selegiline was significantly s
Selexipag,openfda.generic_name=Selexipag,openFDA label,2,Hypertension; Pulmonary arterial hypertension,"UPTRAVI is a prostacyclin receptor agonist indicated for the treatment of pulmonary arterial hypertension (PAH, WHO Group I): In adults to delay disease progression and reduce the risk of hospitalization for PAH. In pediatric patients aged 2 years and older. UPTRAVI reduces NT-proBNP and is expected to delay disease progression and reduce the risk of hospitalization for PAH. 1.1 Pulmonary Arterial Hypertension Adult Patients UPTRAVI is indicated for the treatment of pulmonary arterial hypertension in adults (PAH, WHO Group I) to delay disease progression and reduce the risk of hospitalization "
Selpercatinib,openfda.generic_name=Selpercatinib,openFDA label,3,Non-small cell lung cancer; Small cell lung cancer; Thyroid cancer,"RETEVMO ® is a kinase inhibitor indicated for the treatment of: Adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with a rearranged during transfection (RET) gene fusion, as detected by an FDA-approved test Adult and pediatric patients 2 years of age and older with advanced or metastatic medullary thyroid cancer (MTC) with a RET mutation, as detected by an FDA-approved test, who require systemic therapy Adult and pediatric patients 2 years of age and older with advanced or metastatic thyroid cancer with a RET gene fusion, as detected by an FDA-approved test,"
Selumetinib Sulfate,openfda.generic_name=Selumetinib,openFDA label,0,,"KOSELUGO is indicated for the treatment of adult and pediatric patients 1 year of age and older with neurofibromatosis type 1 (NF1) who have symptomatic, inoperable plexiform neurofibromas (PN) . KOSELUGO is a kinase inhibitor indicated for the treatment of adult and pediatric patients 1 year of age and older with neurofibromatosis type 1 (NF1) who have symptomatic, inoperable plexiform neurofibromas (PN)."
Semaglutide,openfda.generic_name=Semaglutide,openFDA label,4,Type 2 diabetes; Diabetes mellitus; Myocardial infarction (risk reduction); Stroke (risk reduction),"RYBELSUS and OZEMPIC tablets are indicated: • as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. • to reduce the risk of major adverse cardiovascular (CV) events (CV death, non-fatal myocardial infarction or non-fatal stroke) in adults with type 2 diabetes mellitus who are at high risk for these events. RYBELSUS and OZEMPIC tablets are glucagon-like peptide-1 (GLP-1) receptor agonists indicated: • as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. • to reduce the risk of major adverse card"
Sertraline Hydrochloride,openfda.generic_name=Sertraline,openFDA label,1,Major depressive disorder,INDICATIONS AND USAGE Major Depressive Disorder – Sertraline hydrochloride is indicated for the treatment of major depressive disorder in adults. The efficacy of Sertraline hydrochloride in the treatment of a major depressive episode was established in six to eight week controlled trials of adult outpatients whose diagnoses corresponded most closely to the DSM-III category of major depressive disorder (see Clinical Trials under CLINICAL PHARMACOLOGY ). A major depressive episode implies a prominent and relatively persistent depressed or dysphoric mood that usually interferes with daily functio
